Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Future,31 Days,65,,,2018-07-21
"Halsey, Big Sean, Stefflon Don",Alone,66,66,13,2018-07-21
Drake,Jaded,67,32,2,2018-07-21
Drake,That's How You Feel,68,37,2,2018-07-21
Drake,Survival,69,17,2,2018-07-21
"Chris Lane, Tori Kelly",Take Back Home Girl,70,70,6,2018-07-21
Future,Cuddle My Wrist,71,,,2018-07-21
"Lil Dicky, Chris Brown",Freaky Friday,72,8,17,2018-07-21
"Meek Mill, Swizz Beatz",Millidelphia,73,,,2018-07-21
Morgan Evans,Kiss Somebody,74,74,2,2018-07-21
"Post Malone, Nicki Minaj",Ball For Me,75,16,11,2018-07-21
Future,Racks Blue,76,,,2018-07-21
"Keith Urban, Julia Michaels",Coming Home,77,77,3,2018-07-21
Drake,Finesse,78,42,2,2018-07-21
"Meek Mill, Jeremih, PnB Rock",Dangerous,79,,,2018-07-21
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,80,66,12,2018-07-21
Luke Bryan,"Sunrise, Sunburn, Sunset",81,81,2,2018-07-21
Backstreet Boys,Don't Go Breaking My Heart,82,82,3,2018-07-21
Lil Pump,Drug Addicts,83,,,2018-07-21
J. Cole,KOD,84,10,12,2018-07-21
Kanye West,All Mine,85,11,6,2018-07-21
Alessia Cara,Growing Pains,86,86,2,2018-07-21
Old Dominion,Hotel Key,87,87,2,2018-07-21
"Tiesto, Dzeko, Preme, Post Malone",Jackie Chan,88,,,2018-07-21
Li,Chun,89,10,14,2018-07-21
Queen Naija,Medicine,90,45,6,2018-07-21
Carrie Underwood,Cry Pretty,91,48,5,2018-07-21
"Martin Garrix, Khalid",Ocean,92,78,2,2018-07-21
Drake,Peak,93,38,2,2018-07-21
Juice WRLD,Legends,94,65,2,2018-07-21
The Weeknd,Call Out My Name,95,4,15,2018-07-21
Iggy Azalea Feauring Tyga,Kream,96,,,2018-07-21
"Khalid, Ty Dolla $ign, 6LACK",OTW,97,57,11,2018-07-21
"Clean Bandit, Demi Lovato",Solo,98,97,2,2018-07-21
